name,cat,section,line,original_part_name
אינג'קטור,Mechanical,Air and fuel supply,PIPE SET INJECTOR,PETROL INJECTOR | NE HDI COMPLETE INJECT HOLDER
כנף קדמי ימין,Bodywork, Front wing,FRONT WING,FRONT WING LEFT
כנף קדמי שמאל,Bodywork, Front wing,FRONT WING,FRONT WING RIGHT
בטנה קדמית,Bodywork, Front wing,FRONT WING,WHEEL HOUSING MUDGUARD
אינטרקולר,Mechanical,Turbocharging,AIR AIR DISTRIBUTION CHAMBER,INTERCOOLER ASSEMBLY
מגן קרטר,Bodywork, Underbody protection,UNDERBODY PROTECTION,ENGINE+GEAR-BOX SOUND PROOFING
כבל מכסה מנוע,Bodywork,Bonnet,BONNET,BONNET CONTROL | MANUAL BONNET CONTROL
מכסה מנוע,Bodywork,Bonnet,BONNET,ENGINE BONNET
מנעול מכסה מנוע,Bodywork,Bonnet,BONNET,BONNET LOCK
ציר מכסה מנוע,Bodywork,Bonnet,BONNET,BONNET HINGE
גריל מגן,Bodywork,Front Bumper,FRONT BUMPER,STONE GUARD GRILLE
כיסוי וו גרירה,Bodywork,Front Bumper,FRONT BUMPER,RECESS DOOR
בולם אחורי,Mechanical,Rear shock absorbers ,REAR SHOCK ABSORBER,REAR SUSPENSION SHOCK-ABSORBER
כיסוי ערפל,Bodywork,Front Bumper,FRONT BUMPER,"BUMPER RUBBER BOOT|
FRONT BUMPER MOULDING|
BUMPER PLUG| BUMPER TRIM"
מגן קדמי,Bodywork,Front Bumper,FRONT BUMPER,FRONT BUMPER
ניקל מגן קדמי,Bodywork,Front Bumper,FRONT BUMPER,ASSY FINISHER BUMPERS
חגורת בטיחות קדמי נהג,Electric unit,Seat Belt,FRONT SAFETY BELTS,SAFETY BELT LEFT
חגורת בטיחות קדמי נוסע,Electric unit,Seat Belt,FRONT SAFETY BELTS,SAFETY BELT RIGHT
סמל גריל,Bodywork,Front Bumper,FRONT BUMPER,BADGE
ספוילר למגן קדמי,Bodywork,Front Bumper,FRONT BUMPER,FRONT BUMPER MOULDING
פלסטיק עליון למגן קדמי,Bodywork,Front Bumper,FRONT BUMPER,"FRONT BUMPER DEFLECTOR |
BUMPER RANGE| BUMPER BRACKET"
קורה מגן קדמי,Bodywork,Front Bumper,FRONT BUMPER,"BUMPER ABSORBER|
FRONT FACE CROSSMEMBER| 
BUMPER BRACKET"
קישוט גריל מגן,Bodywork,Front Bumper,FRONT BUMPER,RADIATOR GRILLE MOULDING
בולם אחורי,Mechanical,Rear shock absorbers ,REAR SHOCK ABSORBER,REAR SUSPENSION SHOCK-ABSORBER
תומך מגן קדמי,Bodywork,Front Bumper,FRONT BUMPER,"BUMPER BRACKET SET |
BUMPER ABSORBER ASSEMBLY| SET BUMPER LAT REINFORCEMENT"
בולם קדמי,Mechanical,Front shock absorbers ,SHOCK ABSORBERS,FRONT SUSPENSION SHOCK-ABSORB
טפט דלת קדמי שמאל,Bodywork,Front doors,FRONT HINGED SIDE DOORS,BODY FRAME MOULDING LEFT
טפט דלת קדמי ימין,Bodywork,Front doors,FRONT HINGED SIDE DOORS,BODY FRAME MOULDING RIGHT
בומבה,Mechanical,Front axle ,FRONT SUSPENSION CYLINDER SPHERE,SPHERE + GASKET
בוקסה תושבת,Mechanical,Engine assembly,FIXING POWER UNIT,ENGINE FLEXIBLE-BUSH
בורר הילוכים,Mechanical,Gearbox controls ,GEAR CHANGE CONTROL BINACLE SIDE,GEARSHIFT CONTROL RETURN
כיסוי סף אחורי ימין,Equipment,Interior trim,REAR INTERIOR TRIM 4/5 DOORS,WHEEL HOUSING LINING RIGHT
כרית אויר נהג,Electric unit,Airbags,FRONT AIR BAGS,PRYOTECH STEER WHEEL CUSHION
כרית אויר נוסע,Electric unit,Airbags,FRONT AIR BAGS,PASSENGER AIR-BAG
כיסוי סף אחורי שמאל,Equipment,Interior trim,REAR INTERIOR TRIM 4/5 DOORS,WHEEL HOUSING LINING LEFT
ציר דלת קדמי שמאל תחתון,Bodywork,Front doors,FRONT HINGED SIDE DOORS,DOOR HINGE LEFT INF
בית מסנן אויר,Mechanical,Air and fuel supply,AIR FILTER AIR HOSE AIR RESONATOR,DRY TYPE AIR FILTER
