num_vehicle,vin
1003551,2Y005952
1006551,3W002591
1010051,3L005217
1011051,3W002743
1013251,3A001396
1016651,3A001625
1017151,3Y002626
1020275,BP004202
1021175,AX515817
1021275,AX515819
1021551,3Y010339
1021575,AX515741
1021775,BS070723
1021875,AW593960
1022475,AJ878440
1022775,AA683939
1023175,AT561554
1023279,AT578038
1024451,3J002027
1025275,BS014505
1025575,BS078230
1025751,3J002108
1025775,BS078232
1025975,BS081726
1026075,BS081729
1026551,3J002124
1026575,AT556657
1026875,AX515053
1027251,3A001703
1027275,BY527871
1027475,AX506210
1028075,BS031960
1028251,3Y010594
1028575,AX513402
1029051,3W001903
1029175,BY011007
1030175,AJ869220
1030375,AW115871
1030451,3A001297
1030951,3A001488
1031151,3A001573
1031251,3A001534
1032775,BJ513333
1033075,AL573343
1033675,BT503020
1034051,3A001613
1034375,BS033119
1034475,BY012835
1034775,AA683946
1034851,3A001694
1035175,AZ048191
1035575,BT506070
1035775,BS019664
1036375,AX515700
1036675,AS301518
1036775,BS070735
1036875,BY504270
1036951,3Y010248
1037151,3Y002593
1037675,AJ871612
1037775,AY197991
1037875,BA505402
1038075,CA526485
1038775,AZ048661
1039075,AZ049016
1039275,AL021845
1039375,AA683941
1039475,AA683937
1040275,AJ901208
1040375,BL016654
1040575,AX515657
1040751,3Y010344
1041651,3A001398
1041675,BS070725
1041751,3A001712
1042075,P11886911
1043075,BS082709
1043275,AX515705
1043875,AT093469
1043975,BJ513335
1044175,BJ133336
1044351,3E000526
1044975,AZ048188
1045051,3L004869
1045375,AX515818
1045875,P88520609
1046051,3Y010488
1046075,AJ901218
1046175,AJ873962
1046875,BS099285
1047075,BS141040
1047351,3A001716
1047575,AJ901212
1047975,AT574030
1048175,BY502366
1048375,AA683947
1048775,BS099286
1048851,3Y010822
1049275,BY527880
1049675,BY531386
1049875,BY532852
1051175,AW604404
1051275,AW594544
1051375,AW594543
1051475,AA683940
1051575,BW512901
1051651,3Y001832
1051675,BW512900
1051775,BW520626
1051875,BA522169
1051975,BW520627
1052651,3J507471
1052675,AX513414
1053075,AX513424
1053175,AX513425
1053275,AX513426
1053575,AX513409
1053951,3W002832
1054475,BA531832
1054675,AJ873961
1054851,3E000610
1055375,X11936550
1055875,BY504264
1056251,3E000505
1056675,BZ013525
1056875,AX513423
1057275,BS100293
1058275,AX513433
1058975,BY532866
1059075,BY532865
1059475,BY012843
1060175,AL572764
1060275,AL577694
1060475,BJ528735
1060575,BJ517055
1060751,3X001024
1060775,BJ516307
1060975,BJ520937
1061075,BJ516308
1061175,BJ524510
1061375,AX515821
1061675,AX515663
1061775,AX515822
1062575,AE092057
1062751,3W002777
1062975,AS318470
1063075,AT557313
1063175,BS034892
1063675,AX515049
1063775,AX515816
1064275,AS336939
1064375,BZ013856
1064475,BZ014192
1064575,BZ013855
1064675,BZ014534
1064775,BS076477
1064875,BZ014194
1065075,BZ014533
1065675,AA696850
1066175,BS033148
1066675,AJ901219
1067075,AJ901197
1067651,3Y010495
1067875,AA683948
1068375,BS079919
1068551,3L004927
1068575,BT506860
1068774,3Y015679
1069575,AY194660
1070475,AX515746
1070575,BA519247
1072175,BY532847
1072251,3Y010602
1072775,BY532828
1072975,BY532835
1073475,BY532841
1074075,AX517323
1074175,AY517377
1074951,3Y002510
1075275,P11887491
1075351,3A001767
1075975,BL514280
1076275,AJ878438
1076875,BZ014535
1076955,AT572819
1077375,BY534946
1078975,BY533495
1079251,3E000783
1079675,BY534980
1079775,BY534964
1080051,3Y002750
1080451,3A001745
1081275,BY531381
1081451,3E500016
1082075,BS031959
1082575,BJ517115
1082975,AY161357
1083675,BY531390
1083775,DY532860
1083951,3Y010455
1084075,BY504275
1084375,BT506857
1085575,BY532838
1085775,BY532832
1086151,3A001518
1086775,BP005330
1086875,BY532834
1086975,BY532853
1088175,AJ878421
1088275,BS019669
1088475,BW519666
1088875,BY504273
1089075,P11964730
1089375,P11871043
1089675,AX517329
1089875,BS105743
1089975,AX513467
1090151,3A001833
1090251,3W002231
1090375,BS070753
1090875,BA522156
1091251,3G500552
1091275,BT506068
1091475,BP005144
1091751,3A001645
1091975,AE092007
1092551,8Y002641
1092775,BT506069
1092851,3W000089
1093251,3E000569
1093875,BY529995
1094175,BY501449
1094351,3Y011115
1094451,3W002894
1094475,BY058863
1094875,BY058868
1095375,BY059759
1095475,BY058871
1095775,BL516729
1096051,3J001930
1096475,BS087447
1096551,3Y010249
1097275,AJ897681
1097451,3S011862
1099075,BY538716
1099875,BY051791
1100075,AL028153
1100851,3S011948
1102751,3A001980
1103951,3Y002749
1110251,3A001677
1111451,3L005165
1111751,3A002039
1113151,3W002952
1113551,3A002059
1113851,3W002908
1114051,3E001098
1115251,2X001053
1115551,3W002310
1115975,BS029505
1116875,AX517384
1116951,3U000196
1117275,BS104747
1117475,BS083920
1117751,3Y010805
1117775,BY534983
1118075,BY532857
1118351,3L005103
1118875,BL016648
1119175,BY535717
1119275,BA538318
1119975,BA538075
1120751,3A001513
1120851,3A001695
1122251,3W001828
1122275,BP005429
1123675,BS098077
1123975,BA537648
1126451,3A002051
1126775,BY533482
1127375,AX517340
1127675,AX517412
1127751,3J002165
1128051,3W002341
1128375,AX517418
1128975,BY055078
1129475,BY056948
1129551,3W002960
1129575,BY057423
1129651,3W002592
1129675,BY057928
1129775,BY534979
1129875,BY534981
1130151,3W002816
1130575,BY534985
1130775,BY534986
1131775,AJ878442
1132275,BS029488
1132375,BS105742
1132775,AX508353
1133075,AW602128
1133475,AW595685
1133775,BS081661
1134275,BW019606
1136075,AT556658
1136175,AJ898067
1136451,3G500358
1136575,BS098784
1136775,BY008459
1136875,BL517798
1136975,AW110955
1137475,AL578056
1137575,BL017481
1137775,AL579100
1137875,BY532871
1138675,BS073508
1138775,BL023726
1139075,BY534932
1139175,AJ878422
1139375,B1015573
1139975,BS073494
1140175,BY008460
1141051,3E000701
1141575,BY527879
1142175,AS318472
1142375,BS085688
1143075,P88563465
1143275,BY537202
1143675,AJ901210
1144175,BY529997
1144375,BY056286
1144551,3E000742
1144675,AJ851382
1145075,BY529989
1145775,BW536825
1145875,BW536824
1146075,BW537256
1146175,BW538054
1146275,BW539334
1146375,BW539335
1146475,BW539338
1147751,3Y010490
1148151,3Y001688
1148175,BY504272
1148751,3W002240
1148975,AW600945
1149151,3S011989
1149251,3W002859
1149275,BL509500
1149651,3A001971
1149775,AL569079
1150075,BL521631
1150175,BY534931
1150351,3A001904
1150357,BT504943
1151575,BS046644
1151775,P88559437
1151951,3A001986
1152375,BT507616
1152551,3J001397
1152975,BY534969
1153175,BY534973
1153451,3L005057
1153751,3E000787
1153975,P88515975
1154275,BY057418
1154475,BA522159
1154875,AT557695
1155175,BP005936
1155375,BA538319
1156275,AL576992
1156451,3W002981
1157175,BZ016590
1157375,BL516399
1157575,BA522163
1158575,BL515337
1158775,BA528073
1159775,BS017981
1159875,BY058860
1160775,BS017982
1161251,3A001990
1161851,3A001657
1161975,AX517331
1162375,BY536440
1162451,3L001740
1162551,3Y011258
1162575,BS078548
1162775,5S083918
1163051,3W000870
1163075,BS098781
1164075,BL023729
1164375,BY537206
1164875,BY056949
1166651,3A001878
1167175,BT508069
1167275,BT508071
1167575,BW019608
1167751,3E001065
1168075,AJ878423
1168175,AT093497
1168451,3U000228
1169251,3L005322
1169551,3W002340
1169975,AT574023
1170075,BL024269
1170551,3L005330
1170575,BY538717
1170775,BS087939
1170851,3L005310
1170875,BA537649
1170951,3L005302
1171151,3L005252
1171275,AX513412
1171475,P11867224
1171975,BY502772
1172075,BA522167
1172351,3Y002562
1172375,BY059761
1172751,3U0002589
1172851,3S011992
1172875,AX517348
1173075,AX517349
1174075,BZ007333
1174175,P11970919
1174451,3L005198
1175375,BL023733
1175975,AL018353
1176175,AS240996
1176551,3L005352
1177151,3W001742
1177551,3L005343
1177651,3L005251
1179375,BS034581
1179775,BS041815
1180551,3E000907
1181075,P88566626
1181151,3A001938
1181351,3A001921
1181775,P88566134
1181851,3W002950
1182175,P88565356
1182251,3A001885
1182975,BL520279
1185451,3L005154
1186351,3L005299
1187251,3Y010279
1187275,AX510968
1188575,AX511756
1190651,3A002067
1191651,3W003030
1193151,3Y012231
1193175,AX512851
1194275,AX513270
1194375,AX513271
1195868,8Z001126
1195951,3Y012026
1197175,AX513280
1197475,BY538708
1198975,BJ532123
1199575,AX513321
1199751,3S011855
1199951,3Y010441
1199975,AL578389
1200575,AX513360
1200775,BP008553
1201013,6W016089
1201313,6L500141
1201475,AX513356
1203275,AX513347
1203513,6L502768
1203713,6J020290
1204113,6Y502094
1204475,AX513313
1204813,6Y502104
1205013,6J002751
1205075,AX513339
1205413,6J002742
1207875,BY535718
1208075,AX513437
1208675,AT578032
1208775,BA539637
1209013,P67699362
1209339,GJ805830
1209575,BS073537
1209675,BX506889
1209713,6W015910
1210013,6Y501727
1210175,BX506880
1210313,6Z000743
1210375,BX506900
1210675,BX506896
1211013,6Y502091
1211375,BZ019609
1211475,BZ020302
1211513,6Y502090
1212175,AW602130
1212451,3E000838
1212513,6J003088
1212575,BY535704
1212713,6Y502098
1213175,AJ855057
1213275,P11936538
1213513,6J002842
1213575,AA683945
1213813,6J003039
1214013,6S005398
1214051,3U000341
1214075,AT574031
1214313,6L502353
1214373,BS082161
1214675,BY534943
1214875,BY538006
1214913,6Y501649
1215375,AX513445
1215651,3Y012362
1216475,BY535689
1216613,6Y501854
1216875,AJ819680
1217613,6U011092
1218613,6L007845
1218813,6J003003
1218975,BY061572
1219051,3W002230
1221775,BY537999
1221813,6Z000773
1221975,BA538987
1222575,BL509506
1223113,6L007394
1223736,2W003444
1223813,6S006819
1223851,3Y011276
1224113,6Y502102
1224675,AX517773
1224713,6J011156
1224775,AX517833
1224813,6Z000755
1224875,BJ524508
1225213,6S006343
1225313,6Z000764
1225475,BW539337
1225513,6S007310
1225551,3W002909
1226313,6W016285
1226451,3A001760
1226951,3L005249
1227213,6J020263
1227313,6S007269
1227713,6Y502066
1227775,BY011932
1227875,BA540010
1227975,BY056293
1228013,6Z000770
1228075,P88567041
1228275,BW543345
1228313,6L502638
1228475,BT508817
1228668,8J111712
1228913,6S007304
1229475,BA527186
1229613,6Z000761
1229751,3E000956
1230075,BP008286
1230213,6Y501328
1230613,3W016280
1231013,6L502660
1231075,BA541338
1231175,AX513403
1231613,6W016166
1231775,AX517350
1231913,6Y501436
1232275,AX517422
1232413,6Y502130
1232451,3Y012347
1232613,6Z000817
1233113,6W016247
1233251,3U000234
1233375,BS106207
1233813,6L007692
1233875,AX517411
1234513,6L007504
1235275,AX517397
1235451,3W002651
1236213,6J010799
1236513,6S007111
1236775,AY161363
1237013,6Y502068
1237113,6Y501691
1237151,3W002980
1237175,BS083921
1237275,AX517792
1237413,6Y502059
1237513,6Y501205
1237613,6Y502202
1237813,6Y501771
1238251,3L001721
1238275,BJ528736
1238375,BL521632
1239075,BS108712
1239175,BJ528733
1239213,6Z000762
1239451,3E000809
1239475,BJ513326
1239551,3Y010457
1239575,P11867878
1239613,6W016469
1240313,6S007300
1240975,BW543348
1241513,6L007506
1241575,BY057916
1241613,6S006453
1241675,BY064473
1242213,6Z000798
1242313,6L007631
1242375,BS106741
1242613,6Y501863
1243251,3E001393
1244375,AL023619
1244451,3Y010962
1244813,6Y502062
1245413,6Y502063
1245813,6Z000766
1246175,AW117222
1246275,AX513284
1247075,P88567337
1247513,6J011158
1247875,BL519926
1247951,3W002531
1248013,6Y502111
1248813,6W016278
1249075,X11972222
1249313,6L502812
1249913,6L007645
1249975,BY540898
1250051,3L005282
1250275,BS085683
1250475,BS070754
1250575,BJ725495
1250675,BS026937
1250775,BS025319
1250875,BL023739
1250975,BY542304
1251075,BT514199
1251275,AX517757
1251551,3L001074
1251675,BY538696
1251675,BY538699
1252113,6W003656
1252351,3E500039
1252513,6S007295
1252551,3J500010
1252913,6Z000774
1252975,BY534937
1253275,BT512184
1253313,6Y501799
1253375,BY534941
1253875,BY538668
1253913,6Z000017
1254113,6S006946
1254375,BY532193
1254475,BY537196
1254713,6L502827
1254913,6S007297
1255475,BY538020
1256275,BY538025
1256575,BY538023
1257175,BY538689
1257675,P11871029
1257775,BA541342
1257875,AW597341
1258075,BY060621
1258375,BT513004
1258578,BT511780
1259275,BT514202
1259575,BT514572
1259951,3A001989
1260675,BY538709
1260875,BY541614
1262775,BY538661
1262875,BY538664
1262975,BY538665
1263375,BY538027
1263475,BY535705
1263575,BY537190
1263751,3Y012191
1263875,BY538688
1264175,BY539402
1265951,3G002611
1267651,3A002350
1268051,3W003142
1268351,3A002263
1268475,BY060622
1268951,3A002310
1269175,BY539400
1269275,BS066059
1269475,BY061579
1269675,AT093479
1270475,BA538779
1270975,BS110667
1271075,AW600948
1271375,BY534971
1271475,BY503487
1271951,3W002198
1272275,AW597339
1272451,3E001375
1272475,AW603871
1272575,AA682015
1272651,3A002349
1273375,AT103599
1273851,3A002261
1274075,BL022602
1276051,3J001934
1276575,AZ053193
1276675,AX517760
1276775,AX517847
1277075,BL022604
1277275,BS126185
1277375,BS121164
1277675,BS105748
1278113,6L502666
1278275,BL520273
1278513,6Y502007
1278675,BY537195
1278813,6J020265
1278875,AL569072
1279513,6S007275
1279975,BY010070
1280213,6S007278
1280275,AE099304
1280413,6S007298
1280713,6S007276
1280775,BS110153
1280913,6S007277
1281013,6S007404
1281051,3Y010935
1281113,6S007299
1281175,BT514571
1281475,AW597338
1281613,6S007402
1281731,6S007205
1281975,BZ019255
1282113,6L007473
1282175,BY059755
1282213,C67003076
1282251,3Y012382
1282375,BT508067
1282475,AX517800
1282651,3W002993
1282675,BY545813
1282713,6Z000759
1282775,AL553782
1282851,3L005271
1282875,BL524157
1283275,P88567571
1283575,P88569054
1283913,6Z000800
1284075,BW544376
1284375,BW548603
1284451,3Y013397
1284475,P88567235
1284575,BA551926
1284913,6Y502107
1284951,3A002253
1285175,P88567667
1285913,6J002968
1286013,6Z000018
1286351,3Y013282
1286513,6W016271
1286575,BT514197
1286675,BW548601
1286813,6Y502114
1286913,6Z000769
1287413,6Y502086
1287475,BW549398
1287613,6Y502127
1287713,6Y502112
1288113,6Y502097
1288313,6Y502057
1288413,6Y502125
1289013,6Y502058
1289375,AX517801
1289575,BL025269
1289675,BJ522711
1289975,AX513438
1290175,AX513443
1290351,3Y012710
1290775,BL517176
1290875,BL514391
1291013,6Z000783
1291051,3A002161
1291075,AE089881
1291251,3A002159
1291351,3A002352
1291375,BY545810
1291413,6Y502088
1291513,6Z000776
1291675,BL522703
1291875,P11973274
1292575,BL515430
1292713,6Y502054
1293551,3Y012337
1294213,6W016277
1294775,AE098087
1295075,BZ007332
1295313,6J002763
1295351,3W003037
1295414,6Z000757
1295475,BA551923
1295551,3W002287
1295751,3W003048
1295875,BX507224
1295913,6Z000793
1296375,BS110152
1296513,6Y502119
1296751,3W002196
1296813,6Z000809
1297013,6S007319
1297075,BL027524
1297113,6S007281
1297351,3A001961
1297775,BY547360
1298075,BY542295
1298151,3A001796
1298213,6Y502113
1298575,BJ513777
1298575,BJ513717
1298713,6Y502092
1298875,BA543770
1299575,BL032251
1299775,BL518199
1300136,2L001009
1303951,3W001831
1304336,2U001209
1305236,2W002384
1306051,3J507925
1306436,2Y001937
1307451,3W003067
1308751,3A002280
1308951,3A002279
1309751,3A002304
1310113,6Y502053
1310451,3A002288
1310851,3A002368
1311136,2Y001852
1311336,2W003268
1311951,3Y010809
1312051,3Y012338
1312451,3L004643
1312736,2W003043
1313951,3Y002629
1315051,3U000338
1316251,3A002291
1317451,3Y014389
1318751,3W002385
1320036,2L001616
1320236,2S001718
1320275,BY540132
1320613,6W016199
1320836,2Y001026
1320975,P11887826
1321113,6Y502056
1321275,AX517770
1321613,6J011045
1321813,6W016167
1322075,AE092058
1322113,6Y502061
1322275,BP008193
1322851,3E500166
1323075,BY060617
1323375,BL025279
1323625,BY639376
1323651,3Y013701
1324636,2S001583
1325075,BY538034
1325675,BY547361
1326075,BY548124
1326951,3L005319
1326975,BY536421
1327975,X11976292
1327975,P11976292
1328375,BS081728
1328475,AW109410
1328675,AA683944
1329436,2L001433
1329636,2W003005
1329675,BT513005
1329851,3E001410
1330213,6Y502118
1330413,6L007552
1330536,2Y001583
1330613,6S007073
1330975,BL025263
1331375,AJ855042
1331775,BA543118
1331875,BY536443
1332113,6Y501858
1332313,6L502487
1332475,AW586098
1332513,6Z000763
1332613,6Y501951
1332951,3W002133
1333113,6S007806
1333336,2Y001033
1333413,6L007571
1333813,6J020270
1333875,AL024190
1334113,6Y502122
1334151,3E001735
1334613,6Z000765
1334813,6Y502123
1334913,6S007282
1335075,BZ008027
1335413,6L502836
1336013,6Y502065
1336213,6J010803
1336275,BT512251
1336975,BY061584
1337275,BS098078
1337475,BS098787
1337675,BL522704
1338213,6Y502115
1338413,6Y502120
1338575,BY540127
1338775,P11939086
1339213,6L007721
1339551,3A002394
1339651,3Y009931
1339775,BY544493
1339936,2Y002004
1340413,6Y501407
1340613,6Y502089
1340851,3U000310
1341075,P88569650
1341175,BS124520
1341551,3E001464
1341636,2G002543
1342351,3L005419
1342413,6L502759
1343075,BL035550
1343251,3J002178
